week,Under 5,5 to 14 years,15 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 and over
48,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.38
52,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.00,0.00,0.03,0.00,0.09,0.22,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0.15,0.00,0.00,0.00,0.08,0.00,0.00,0.00
9,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0.00,0.00,0.00,0.07,0.00,0.00,0.17,0.00
12,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0.14,0.00,0.02,0.07,0.00,0.00,0.00,0.00
14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42
15,0.29,0.00,0.00,0.00,0.00,0.10,0.17,0.00
16,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0.17,0.08,0.00,0.00,0.00,0.11,0.00,0.00
19,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,3.10,0.00,0.03,0.00,0.00,0.00,0.00,0.00
22,3.13,0.28,0.08,0.00,0.00,0.00,0.36,0.00
23,3.86,0.07,0.08,0.00,0.00,0.00,0.00,0.00
24,7.40,0.15,0.03,0.00,0.00,0.00,0.41,0.00
25,8.98,0.15,0.03,0.00,0.00,0.11,0.00,0.00
26,11.95,0.08,0.09,0.09,0.20,0.00,0.43,0.00
27,20.36,0.86,0.19,0.07,0.08,0.00,0.00,0.00
28,19.72,0.74,0.17,0.08,0.00,0.24,0.00,0.00
29,28.21,1.07,0.44,0.16,0.18,0.22,0.19,0.95
30,28.90,1.03,0.27,0.24,0.19,0.35,0.40,0.00
31,32.00,0.77,0.38,0.15,0.18,0.32,0.37,0.00
32,31.49,0.48,0.30,0.24,0.09,0.23,0.61,0.50
33,17.23,0.27,0.19,0.16,0.19,0.23,0.60,0.00
34,24.54,0.33,0.26,0.08,0.45,0.33,0.95,0.93
35,26.15,0.67,0.16,0.24,0.19,0.12,0.20,0.49
36,22.93,0.41,0.22,0.16,0.00,0.23,0.40,0.50
37,21.56,0.96,0.16,0.00,0.38,0.23,0.40,1.00
38,19.89,0.51,0.10,0.15,0.00,0.00,0.18,0.00
39,16.46,0.79,0.45,0.08,0.55,0.34,0.20,0.96
40,18.30,0.64,0.11,0.44,0.59,0.18,0.46,0.74
41,18.66,0.59,0.31,0.21,0.49,0.29,0.51,2.12
42,17.21,1.01,0.23,0.20,0.08,0.10,0.33,2.40
43,15.52,0.74,0.13,0.20,0.08,0.28,0.16,0.39
44,14.05,0.76,0.22,0.14,0.08,0.20,1.04,0.85
45,10.20,0.57,0.19,0.28,0.33,0.61,0.52,0.85
46,9.67,0.58,0.18,0.45,0.09,0.32,0.19,1.37
47,14.91,0.55,0.06,0.18,0.42,0.39,0.23,0.55
