age_low,age_high,wpp_agegroup_low,wpp_agegroup_high,duration,value,fraction,agegroup_name,mean_age_weighted
0,0.4,1,1,0.5,392449,0.0058,0-0.5,0.25
0.5,0.9,1,1,0.5,392449,0.0058,0.5-1,0.75
1,1.4,1,1,0.4999999999999999,392448.99999999994,0.0058,1-1.5,1.25
1.5,1.9,1,1,0.4999999999999999,392448.99999999994,0.0058,1.5-2,1.75
2,2.9,1,1,0.9999999999999999,784897.9999999999,0.0116,2-3,2.5
3,3.9,1,1,0.9999999999999999,784897.9999999999,0.0116,3-4,3.5
4,4.9,1,1,1.0000000000000004,784898.0000000003,0.0116,4-5,4.5
5,14,2,3,10,8075906.000000001,0.119,5-15,9.949471303900763
15,44,4,9,30,25847994,0.3808,15-45,30.471353212168033
45,64,10,13,20,17374601.999999996,0.2559,45-65,54.81741596152821
65,99,14,16,35,12663012,0.1865,65-100,75.8396785851581
