week_number,rate_per_100000,year,epi_year
40,0.76,2017/18,2017
41,0.66,2017/18,2017
42,0.91,2017/18,2017
43,1.33,2017/18,2017
44,1.82,2017/18,2017
45,3,2017/18,2017
46,4.01,2017/18,2017
47,4.06,2017/18,2017
48,3.39,2017/18,2017
49,3.86,2017/18,2017
50,3.12,2017/18,2017
51,2.68,2017/18,2017
52,2.49,2017/18,2017
1,2.14,2017/18,2017
2,1.8,2017/18,2017
3,1.29,2017/18,2017
4,0.97,2017/18,2017
5,0.74,2017/18,2017
6,0.74,2017/18,2017
7,0.54,2017/18,2017
8,0.77,2017/18,2017
9,0.48,2017/18,2017
10,0.7,2017/18,2017
11,0.3,2017/18,2017
12,0.45,2017/18,2017
13,0.38,2017/18,2017
14,0.36,2017/18,2017
15,0.34,2017/18,2017
16,0.23,2017/18,2017
17,0.14,2017/18,2017
18,0.23,2017/18,2017
19,0.14,2017/18,2017
20,0.46,2017/18,2017
40,0.31,2018/19,2018
41,0.57,2018/19,2018
42,0.72,2018/19,2018
43,1.7,2018/19,2018
44,2.38,2018/19,2018
45,2.14,2018/19,2018
46,3.19,2018/19,2018
47,4.39,2018/19,2018
48,4.67,2018/19,2018
49,3.49,2018/19,2018
50,2.41,2018/19,2018
51,2.38,2018/19,2018
52,1.65,2018/19,2018
1,2.48,2018/19,2018
2,2.14,2018/19,2018
3,1.29,2018/19,2018
4,1.26,2018/19,2018
5,0.61,2018/19,2018
6,0.53,2018/19,2018
7,0.62,2018/19,2018
8,0.39,2018/19,2018
9,0.28,2018/19,2018
10,0.22,2018/19,2018
11,0.21,2018/19,2018
12,0.28,2018/19,2018
13,0.22,2018/19,2018
14,0.15,2018/19,2018
15,0.14,2018/19,2018
16,0,2018/19,2018
17,0.2,2018/19,2018
18,0.22,2018/19,2018
19,0.28,2018/19,2018
20,0.15,2018/19,2018
40,0.44,2019/20,2019
41,0.56,2019/20,2019
42,0.96,2019/20,2019
43,1.29,2019/20,2019
44,1.42,2019/20,2019
45,1.99,2019/20,2019
46,2.53,2019/20,2019
47,3.8,2019/20,2019
48,3.63,2019/20,2019
49,4.71,2019/20,2019
50,4.94,2019/20,2019
51,5.28,2019/20,2019
52,4.21,2019/20,2019
1,4.08,2019/20,2019
2,2.7,2019/20,2019
3,2.1,2019/20,2019
4,1.28,2019/20,2019
5,1.12,2019/20,2019
6,1.13,2019/20,2019
7,0.45,2019/20,2019
8,0.27,2019/20,2019
9,0.3,2019/20,2019
10,0.25,2019/20,2019
11,0.14,2019/20,2019
12,0.18,2019/20,2019
13,0.17,2019/20,2019
14,0,2019/20,2019
15,0,2019/20,2019
16,0,2019/20,2019
17,0,2019/20,2019
18,0,2019/20,2019
19,0,2019/20,2019
20,0,2019/20,2019
40,0,2020/21,2020
41,0,2020/21,2020
42,0,2020/21,2020
43,0,2020/21,2020
44,0.01,2020/21,2020
45,0,2020/21,2020
46,0,2020/21,2020
47,0.04,2020/21,2020
48,0.01,2020/21,2020
49,0,2020/21,2020
50,0,2020/21,2020
51,0.03,2020/21,2020
52,0.01,2020/21,2020
1,0,2020/21,2020
2,0.01,2020/21,2020
3,0,2020/21,2020
4,0,2020/21,2020
5,0,2020/21,2020
6,0.04,2020/21,2020
7,0,2020/21,2020
8,0.02,2020/21,2020
9,0.01,2020/21,2020
10,0,2020/21,2020
11,0.02,2020/21,2020
12,0.02,2020/21,2020
13,0.03,2020/21,2020
14,0.01,2020/21,2020
15,0.04,2020/21,2020
16,0.01,2020/21,2020
17,0.02,2020/21,2020
18,0.03,2020/21,2020
19,0.02,2020/21,2020
20,0.07,2020/21,2020
21,0.22,2020/21,2020
22,0.29,2020/21,2020
23,0.29,2020/21,2020
24,0.54,2020/21,2020
25,0.63,2020/21,2020
26,0.90,2020/21,2020
27,1.57,2021/22,2021
28,1.53,2021/22,2021
29,2.32,2021/22,2021
30,2.32,2021/22,2021
31,2.53,2021/22,2021
32,2.42,2021/22,2021
33,1.38,2021/22,2021
34,1.92,2021/22,2021
35,2.03,2021/22,2021
36,1.77,2021/22,2021
37,1.77,2021/22,2021
38,1.47,2021/22,2021
39,1.53,2021/22,2021
40,1.52,2021/22,2021
41,1.61,2021/22,2021
42,1.47,2021/22,2021
43,1.25,2021/22,2021
44,1.25,2021/22,2021
45,1.01,2021/22,2021
46,0.92,2021/22,2021
47,1.25,2021/22,2021
