year,wk_n,casesunder5total,pop_AGEUNDER5,rate_under5yrs
2018-19,2018.40,3,78378,3.83
2018-19,2018.41,16,201430,7.94
2018-19,2018.42,13,130869,9.93
2018-19,2018.43,51,201270,25.34
2018-19,2018.44,65,170973,38.02
2018-19,2018.45,61,198760,30.69
2018-19,2018.46,111,241534,45.96
2018-19,2018.47,123,213747,57.54
2018-19,2018.48,144,213747,67.37
2018-19,2018.49,99,241534,40.99
2018-19,2018.50,71,241534,29.40
2018-19,2018.51,44,157470,27.94
2018-19,2018.52,38,185257,20.51
2018-19,2019.01,34,132253,25.71
2018-19,2019.02,23,201270,11.43
2018-19,2019.03,16,132253,12.10
2018-19,2019.04,14,213747,6.55
2018-19,2019.05,8,201270,3.97
2018-19,2019.06,6,201270,2.98
2018-19,2019.07,8,198860,4.02
2018-19,2019.08,8,186383,4.29
2018-19,2019.09,3,179169,1.67
2018-19,2019.10,0,65231,0.00
2018-19,2019.11,2,130106,1.54
2018-19,2019.12,3,133985,2.24
2018-19,2019.13,1,65231,1.53
2018-19,2019.14,1,67991,1.47
2018-19,2019.15,1,65231,1.53
2018-19,2019.17,2,64875,3.08
2018-19,2019.18,3,82788,3.62
2018-19,2019.19,1,22101,4.52
2018-19,2019.20,1,42774,2.34
2019-20,2019.40,10,133629,7.48340559005737
2019-20,2019.41,10,169848,5.88761711120606
2019-20,2019.42,24,194722,12.3252639770508
2019-20,2019.43,48,309841,15.4918165206909
2019-20,2019.44,43,277995,15.4679040908813
2019-20,2019.45,63,318208,19.7983703613281
2019-20,2019.46,97,373523,25.9689502716064
2019-20,2019.47,162,373523,43.3708229064941
2019-20,2019.48,169,373523,45.2448692321777
2019-20,2019.49,185,373523,49.5284080505371
2019-20,2019.50,167,361697,46.1712417602539
2019-20,2019.51,159,280268,56.7314147949219
2019-20,2019.52,130,342463,37.9603042602539
2019-20,2020.01,135,398740,33.8566474914551
2019-20,2020.02,83,373523,22.220853805542
2019-20,2020.03,55,373523,14.7246618270874
2019-20,2020.04,32,336545,9.50838661193848
2019-20,2020.05,29,333910,8.68497467041016
2019-20,2020.06,20,293871,6.8057074546814
2019-20,2020.07,9,218876,4.11191701889038
2019-20,2020.08,4,186927,2.13987278938293
2019-20,2020.09,7,177788,3.93727350234985
2019-20,2020.10,3,228067,1.31540298461914
2019-20,2020.11,1,115855,0.863147914409637
2019-20,2020.12,1,58801,1.70065140724182
2019-20,2020.13,1,33927,2.94750499725342
2019-20,2020.14,0,58801,0
2019-20,2020.15,0,36700,0
2019-20,2020.16,0,58801,0
2019-20,2020.17,0,58801,0
2019-20,2020.18,0,46975,0
2019-20,2020.19,0,58801,0
2019-20,2020.20,0,58801,0
