agegroup_name,prob_hosp_per_infection,size,hosp_num_from_per_inf_prob,prob_hosp_per_infection_adj
0-0.5,0.058,350948.5,14248.5091,0.02552
0.5-1,0.02,350948.5,4913.2789999999995,0.015
1-1.5,0.005,365109.49999999994,1277.8832499999996,0.005
1.5-2,0.005,365109.49999999994,1277.8832499999996,0.005
2-3,0.005,759353.9999999999,2278.0619999999994,0.005
3-4,0.005,783320.9999999999,2349.9629999999997,0.005
4-5,0.005,807539,2422.6169999999997,0.005
5-15,0,8192527,0,0
15-45,0,25311086,0,0
45-65,0.001,17286653,5185.9959,0.0045000000000000005
65-100,0.01,12508638,25017.276,0.045
